target,blockSort,targetLoc,foilLoc,trialNum,foil,corrAns,triggerFoil,triggerTarget,audio,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,answer.keys,answer.corr,answer.rt,key_resp_5.keys,key_resp_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,9.7883497763,,,,,,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
,,,,,,,,,,,,,,,,,,,,space,157.254878902,,,,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ФАМ,1,"[0.5, 0.1]","[-0.5, 0.1]",83,ЧАМ,right,114,114,FCLstimuli/fam.wav,0,0,0,34,,,,,,,,,left,0,1.40105062234,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЩАЛ,1,"[0.5, 0.1]","[-0.5, 0.1]",22,ЧАЛ,right,111,111,FCLstimuli/shal.wav,0,1,1,11,,,,,,,,,right,1,0.834170683753,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЧАЖ,1,"[0.5, 0.1]","[-0.5, 0.1]",43,ЧАЩ,right,111,111,FCLstimuli/chazh.wav,0,2,2,18,,,,,,,,,right,1,1.48515907745,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
РАЛ,1,"[0.5, 0.1]","[-0.5, 0.1]",120,РАР,right,233,131,FCLstimuli/ral.wav,0,3,3,50,,,,,,,,,right,1,1.18442979502,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЦАЛ,1,"[-0.5, 0.1]","[0.5, 0.1]",36,ЦАР,left,113,111,FCLstimuli/tsal.wav,0,4,4,15,,,,,,,,,right,0,1.52623894927,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЖАЛ,1,"[-0.5, 0.1]","[0.5, 0.1]",8,ЖАР,left,113,111,FCLstimuli/zhal.wav,0,5,5,4,,,,,,,,,left,1,1.31777376728,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЛАЛ,1,"[0.5, 0.1]","[-0.5, 0.1]",106,ВАЛ,right,111,111,FCLstimuli/lal.wav,0,6,6,45,,,,,,,,,right,1,0.601147142937,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЖАТ,1,"[0.5, 0.1]","[-0.5, 0.1]",14,ЖАЛ,right,111,114,FCLstimuli/zhat.wav,0,7,7,7,,,,,,,,,right,1,0.750702184392,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЦАЦ,2,"[0.5, 0.1]","[-0.5, 0.1]",31,РАЦ,right,131,111,FCLstimuli/tsats.wav,0,8,8,97,,,,,,,,,right,1,0.967690656194,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ВАН,1,"[0.5, 0.1]","[-0.5, 0.1]",137,ЧАН,right,113,233,FCLstimuli/van.wav,0,9,9,57,,,,,,,,,left,0,1.05118164467,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ЦАЧ,1,"[-0.5, 0.1]","[0.5, 0.1]",32,НАЧ,left,131,111,FCLstimuli/tsach.wav,0,10,10,13,,,,,,,,,left,1,1.08456835989,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ВАK,2,"[-0.5, 0.1]","[0.5, 0.1]",138,ФАK,left,114,234,FCLstimuli/vak.wav,0,11,11,89,,,,,,,,,right,0,0.917954027653,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
МАМ,1,"[0.5, 0.1]","[-0.5, 0.1]",181,МАТ,right,244,244,FCLstimuli/mam.wav,0,12,12,74,,,,,,,,,right,1,0.76816774183,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ФАK,1,"[0.5, 0.1]","[-0.5, 0.1]",82,ЩАK,right,114,114,FCLstimuli/fak.wav,0,13,13,33,,,,,,,,,right,1,1.03443377581,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
МАЩ,1,"[-0.5, 0.1]","[0.5, 0.1]",170,ЦАЩ,left,111,141,FCLstimuli/mash.wav,0,14,14,69,,,,,,,,,right,0,1.08417382673,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
ТАТ,1,"[0.5, 0.1]","[-0.5, 0.1]",196,ЩАТ,right,114,244,FCLstimuli/tat.wav,0,15,15,79,,,,,,,,,right,1,0.517330554547,,,2016_Mar_07_1523,59.9214393116,FCLtask,001,ROT4fcl,
